date,mean,month,name,year,bridge,bwidth,pp open,burning,elnino,provincelight,pixellight,rain,temperature,road.freight,road.passengers
2009-12-01T00:00:00,241.3000031,12,Can Tho,2009,0,23.1,2,0,1,8.053290434,2,19.6,26.7,2410.5,49.45
2010-01-01T00:00:00,238.1909027,1,Can Tho,2010,0,23.1,2,0,1,10.2790466,7,22.7,25.1,2644.7,54.75
2010-02-01T00:00:00,240.0099945,2,Can Tho,2010,0,23.1,2,1,1,10.2790466,7,101.3,26.7,2644.7,54.75
2010-03-01T00:00:00,255.625,3,Can Tho,2010,0,23.1,2,1,1,10.2790466,7,2.2,28.6,2644.7,54.75
2010-04-01T00:00:00,261.3833313,4,Can Tho,2010,1,23.1,2,0,0,10.2790466,7,201.4,28.9,2644.7,54.75
2010-05-01T00:00:00,270.5799866,5,Can Tho,2010,1,23.1,2,0,0,10.2790466,7,342.4,28.2,2644.7,54.75
2010-06-01T00:00:00,266.9666748,6,Can Tho,2010,1,23.1,2,0,0,10.2790466,7,169.3,28.8,2644.7,54.75
2010-07-01T00:00:00,271.25,7,Can Tho,2010,1,23.1,2,0,0,10.2790466,7,413.5,27.2,2644.7,54.75
2010-08-01T00:00:00,274.2000122,8,Can Tho,2010,1,23.1,2,1,0,10.2790466,7,210.1,28.1,2644.7,54.75
2010-09-01T00:00:00,273.2000122,9,Can Tho,2010,1,23.1,2,1,0,10.2790466,7,488.3,27,2644.7,54.75
2010-10-01T00:00:00,267.7000122,10,Can Tho,2010,1,23.1,2,1,0,10.2790466,7,208,27.5,2644.7,54.75
2010-11-01T00:00:00,265.25,11,Can Tho,2010,1,23.1,2,0,0,10.2790466,7,65.6,27.4,2644.7,54.75
2010-12-01T00:00:00,255.0666656,12,Can Tho,2010,1,23.1,2,0,0,10.2790466,7,19.6,26.7,2644.7,54.75
2011-01-01T00:00:00,252.6000061,1,Can Tho,2011,1,23.1,2,0,0,9.672822049,5.5,19,26.3,2198.9,57.65
2011-02-01T00:00:00,254.3909149,2,Can Tho,2011,1,23.1,2,1,0,9.672822049,5.5,0,26.4,2198.9,57.65
2011-03-01T00:00:00,257,3,Can Tho,2011,1,23.1,2,1,0,9.672822049,5.5,87.2,27.4,2198.9,57.65
2011-04-01T00:00:00,262.3875122,4,Can Tho,2011,1,23.1,2,0,0,9.672822049,5.5,91,28,2198.9,57.65
2011-05-01T00:00:00,275.1166687,5,Can Tho,2011,1,23.1,2,0,0,9.672822049,5.5,241.5,28.7,2198.9,57.65
2011-06-01T00:00:00,,6,Can Tho,2011,1,23.1,2,0,0,9.672822049,5.5,369.8,28,2198.9,57.65
2011-07-01T00:00:00,,7,Can Tho,2011,1,23.1,2,0,0,9.672822049,5.5,298.1,27.7,2198.9,57.65
2011-08-01T00:00:00,265.0333252,8,Can Tho,2011,1,23.1,2,1,0,9.672822049,5.5,236.8,27.9,2198.9,57.65
2011-09-01T00:00:00,269.7999878,9,Can Tho,2011,1,23.1,2,1,0,9.672822049,5.5,593.8,27.2,2198.9,57.65
2011-10-01T00:00:00,264.1750183,10,Can Tho,2011,1,23.1,2,1,0,9.672822049,5.5,187.4,28.1,2198.9,57.65
2011-11-01T00:00:00,256.5499878,11,Can Tho,2011,1,23.1,2,0,0,9.672822049,5.5,242.9,27.5,2198.9,57.65
2011-12-01T00:00:00,245.8000031,12,Can Tho,2011,1,23.1,2,0,0,9.672822049,5.5,78.4,26.4,2198.9,57.65
2012-01-01T00:00:00,236.5,1,Can Tho,2012,1,23.1,2,0,0,9.734926233,9,7.3,26.6,1859,61.05
2012-02-01T00:00:00,242.0333405,2,Can Tho,2012,1,23.1,2,1,0,9.734926233,9,24.4,27.2,1859,61.05
2012-03-01T00:00:00,259.1600037,3,Can Tho,2012,1,23.1,2,1,0,9.734926233,9,233.7,28.1,1859,61.05
2012-04-01T00:00:00,270.9874878,4,Can Tho,2012,1,23.1,2,0,0,9.734926233,9,136.7,29,1859,61.05
2012-05-01T00:00:00,276.8285828,5,Can Tho,2012,1,23.1,2,0,0,9.734926233,9,249.7,28.2,1859,61.05
2012-06-01T00:00:00,275.1600037,6,Can Tho,2012,1,23.1,2,0,0,9.734926233,9,166.3,28.4,1859,61.05
2012-07-01T00:00:00,271.5333252,7,Can Tho,2012,1,23.1,2,0,0,9.734926233,9,288.5,27.5,1859,61.05
2012-08-01T00:00:00,272.9666748,8,Can Tho,2012,1,23.1,2,1,0,9.734926233,9,218.4,27.8,1859,61.05
2012-09-01T00:00:00,271.6500244,9,Can Tho,2012,1,23.1,2,1,0,9.734926233,9,533.3,26.6,1859,61.05
2012-10-01T00:00:00,257.7624817,10,Can Tho,2012,1,23.1,2,1,0,9.734926233,9,192.4,27.8,1859,61.05
2012-11-01T00:00:00,244.8714294,11,Can Tho,2012,1,23.1,2,0,0,9.734926233,9,91.4,27.8,1859,61.05
2012-12-01T00:00:00,234.7250061,12,Can Tho,2012,1,23.1,2,0,0,9.734926233,9,11.8,27.8,1859,61.05
2013-01-01T00:00:00,235.5749969,1,Can Tho,2013,1,23.1,2,0,0,11.19326849,13,36.9,26.5,1726.2,64.5
2013-02-01T00:00:00,239.5899963,2,Can Tho,2013,1,23.1,2,1,0,11.19326849,13,8.1,27.5,1726.2,64.5
2013-03-01T00:00:00,259.0083313,3,Can Tho,2013,1,23.1,2,1,0,11.19326849,13,0,28.5,1726.2,64.5
2013-04-01T00:00:00,265.7999878,4,Can Tho,2013,1,23.1,2,0,0,11.19326849,13,104.3,29.3,1726.2,64.5
2013-05-01T00:00:00,274.2666626,5,Can Tho,2013,1,23.1,2,0,0,11.19326849,13,196,29.3,1726.2,64.5
2013-06-01T00:00:00,279.2333374,6,Can Tho,2013,1,23.1,2,0,0,11.19326849,13,291.6,28.2,1726.2,64.5
2013-07-01T00:00:00,283.4500122,7,Can Tho,2013,1,23.1,2,0,0,11.19326849,13,258.4,27.3,1726.2,64.5
2013-08-01T00:00:00,280.9166565,8,Can Tho,2013,1,23.1,2,1,0,11.19326849,13,288.3,27.6,1726.2,64.5
2013-09-01T00:00:00,288.2000122,9,Can Tho,2013,1,23.1,2,1,0,11.19326849,13,233,27.7,1726.2,64.5
2013-10-01T00:00:00,276.1749878,10,Can Tho,2013,1,23.1,2,1,0,11.19326849,13,265.1,27.5,1726.2,64.5
2013-11-01T00:00:00,271.3999939,11,Can Tho,2013,1,23.1,2,0,0,11.19326849,13,230.5,27.6,1726.2,64.5
2013-12-01T00:00:00,,12,Can Tho,2013,1,23.1,2,0,0,11.19326849,13,29.1,26.1,1726.2,64.5
2014-01-01T00:00:00,250.4199982,1,Can Tho,2014,1,23.1,2,0,0,10.36527299,7,8.3,25.3,1826.4,65.1
2014-02-01T00:00:00,254.9583282,2,Can Tho,2014,1,23.1,2,1,0,10.36527299,7,0,25.9,1826.4,65.1
2014-03-01T00:00:00,262.2142944,3,Can Tho,2014,1,23.1,2,1,0,10.36527299,7,0,27.9,1826.4,65.1
