date,mean,month,name,year,bridge,bwidth,pcr,pp open,burning,elnino,provincelight,,
2011-06-01T00:00:00,,6,Can Tho,2011,1,23.1,0.3359966056,2,0,0,9.672822049,,
2011-07-01T00:00:00,,7,Can Tho,2011,1,23.1,0.3359966056,2,0,0,9.672822049,,
2011-08-01T00:00:00,0.0549999997,8,Can Tho,2011,1,23.1,0.3359966056,2,1,0,9.672822049,,
2011-09-01T00:00:00,-0.01999999955,9,Can Tho,2011,1,23.1,0.3359966056,2,1,0,9.672822049,,
2011-10-01T00:00:00,0.07500000298,10,Can Tho,2011,1,23.1,0.3359966056,2,1,0,9.672822049,,
2011-11-01T00:00:00,-0.06750000268,11,Can Tho,2011,1,23.1,0.3359966056,2,0,0,9.672822049,,
2011-12-01T00:00:00,-0.1071428582,12,Can Tho,2011,1,23.1,0.3359966056,2,0,0,9.672822049,,
2012-01-01T00:00:00,0.2999999821,1,Can Tho,2012,1,23.1,0.3359966056,2,0,0,9.734926233,,
2012-02-01T00:00:00,0.004999999423,2,Can Tho,2012,1,23.1,0.3359966056,2,1,0,9.734926233,,
2012-03-01T00:00:00,0.07200000435,3,Can Tho,2012,1,23.1,0.3359966056,2,1,0,9.734926233,,
2012-04-01T00:00:00,0.04875000194,4,Can Tho,2012,1,23.1,0.3359966056,2,0,0,9.734926233,,
2012-05-01T00:00:00,0.1085714325,5,Can Tho,2012,1,23.1,0.3359966056,2,0,0,9.734926233,,
2012-06-01T00:00:00,0.06400000304,6,Can Tho,2012,1,23.1,0.3359966056,2,0,0,9.734926233,,
2012-07-01T00:00:00,0.04666666687,7,Can Tho,2012,1,23.1,0.3359966056,2,0,0,9.734926233,,
2012-08-01T00:00:00,0.1700000018,8,Can Tho,2012,1,23.1,0.3359966056,2,1,0,9.734926233,,
2012-09-01T00:00:00,-0.1700000018,9,Can Tho,2012,1,23.1,0.3359966056,2,1,0,9.734926233,,
2012-10-01T00:00:00,0.04874999821,10,Can Tho,2012,1,23.1,0.3359966056,2,1,0,9.734926233,,
2012-11-01T00:00:00,0.1057142839,11,Can Tho,2012,1,23.1,0.3359966056,2,0,0,9.734926233,,
2012-12-01T00:00:00,0.1799999923,12,Can Tho,2012,1,23.1,0.3359966056,2,0,0,9.734926233,,
2013-01-01T00:00:00,0.006249998696,1,Can Tho,2013,1,23.1,0.3359966056,2,0,0,11.19326849,,
2013-02-01T00:00:00,0.1550000012,2,Can Tho,2013,1,23.1,0.3359966056,2,1,0,11.19326849,,
2013-03-01T00:00:00,0.04833333567,3,Can Tho,2013,1,23.1,0.3359966056,2,1,0,11.19326849,,
2013-04-01T00:00:00,-0.0671428591,4,Can Tho,2013,1,23.1,0.3359966056,2,0,0,11.19326849,,
2013-05-01T00:00:00,-0.09666666389,5,Can Tho,2013,1,23.1,0.3359966056,2,0,0,11.19326849,,
2013-06-01T00:00:00,-0.113333337,6,Can Tho,2013,1,23.1,0.3359966056,2,0,0,11.19326849,,
2013-07-01T00:00:00,-0.200000003,7,Can Tho,2013,1,23.1,0.3359966056,2,0,0,11.19326849,,
2013-08-01T00:00:00,0.05999999866,8,Can Tho,2013,1,23.1,0.3359966056,2,1,0,11.19326849,,
2013-09-01T00:00:00,-0.1000000015,9,Can Tho,2013,1,23.1,0.3359966056,2,1,0,11.19326849,,
2013-10-01T00:00:00,0.08000000566,10,Can Tho,2013,1,23.1,0.3359966056,2,1,0,11.19326849,,
2013-11-01T00:00:00,0.2949999869,11,Can Tho,2013,1,23.1,0.3359966056,2,0,0,11.19326849,,
2013-12-01T00:00:00,,12,Can Tho,2013,1,23.1,0.3359966056,2,0,0,11.19326849,,
2014-01-01T00:00:00,0.0380000025,1,Can Tho,2014,1,23.1,0.3359966056,2,0,0,10.36527299,,
2014-02-01T00:00:00,0.02999999747,2,Can Tho,2014,1,23.1,0.3359966056,2,1,0,10.36527299,,
2014-03-01T00:00:00,-0.02499999851,3,Can Tho,2014,1,23.1,0.3359966056,2,1,0,10.36527299,,
2014-04-01T00:00:00,0.06500000507,4,Can Tho,2014,1,23.1,0.3359966056,2,0,0,10.36527299,,
2014-05-01T00:00:00,0.009999999776,5,Can Tho,2014,1,23.1,0.3359966056,2,0,0,10.36527299,,
2014-06-01T00:00:00,-0.09666667134,6,Can Tho,2014,1,23.1,0.3359966056,2,0,0,10.36527299,,
2014-07-01T00:00:00,0.01800000109,7,Can Tho,2014,1,23.1,0.3359966056,2,0,0,10.36527299,,
2014-08-01T00:00:00,0.02199999616,8,Can Tho,2014,1,23.1,0.3359966056,2,1,0,10.36527299,,
2014-09-01T00:00:00,-0.02666666545,9,Can Tho,2014,1,23.1,0.3359966056,2,1,0,10.36527299,,
2014-10-01T00:00:00,0.2675000131,10,Can Tho,2014,1,23.1,0.3359966056,2,1,1,10.36527299,,
2014-11-01T00:00:00,-0.1000000015,11,Can Tho,2014,1,23.1,0.3359966056,2,0,1,10.36527299,,
2014-12-01T00:00:00,-0.2033333331,12,Can Tho,2014,1,23.1,0.3359966056,2,0,1,10.36527299,,
2015-01-01T00:00:00,0.0775000006,1,Can Tho,2015,1,23.1,0.3359966056,2,0,1,11.43457249,,
2015-02-01T00:00:00,0.1899999976,2,Can Tho,2015,1,23.1,0.3359966056,2,1,1,11.43457249,,
2015-03-01T00:00:00,-0.02000000142,3,Can Tho,2015,1,23.1,0.3359966056,2,1,1,11.43457249,,
2015-04-01T00:00:00,0.01333333552,4,Can Tho,2015,1,23.1,0.3359966056,2,0,1,11.43457249,,
2015-05-01T00:00:00,-0.0390000008,5,Can Tho,2015,1,23.1,0.3359966056,2,0,1,11.43457249,,
2015-06-01T00:00:00,-0.0540000014,6,Can Tho,2015,1,23.1,0.3359966056,2,0,1,11.43457249,,
2015-07-01T00:00:00,0.3899999857,7,Can Tho,2015,1,23.1,0.3359966056,2,0,1,11.43457249,,
2015-08-01T00:00:00,-0.08666666597,8,Can Tho,2015,1,23.1,0.3359966056,2,1,1,11.43457249,,
2015-09-01T00:00:00,0.006666666362,9,Can Tho,2015,1,23.1,0.3359966056,2,1,1,11.43457249,,
2015-10-01T00:00:00,0.05000000075,10,Can Tho,2015,1,23.1,0.3359966056,2,1,1,11.43457249,,
2015-11-01T00:00:00,0.00333332899,11,Can Tho,2015,1,23.1,0.3359966056,3,0,1,11.43457249,,
2015-12-01T00:00:00,0.06636363268,12,Can Tho,2015,1,23.1,0.3359966056,3,0,1,11.43457249,,
2016-01-01T00:00:00,0.1927272677,1,Can Tho,2016,1,23.1,0.3359966056,3,0,1,11.5674663,,
2016-02-01T00:00:00,0.007272726856,2,Can Tho,2016,1,23.1,0.3359966056,3,1,1,11.5674663,,
2016-03-01T00:00:00,0.02615384571,3,Can Tho,2016,1,23.1,0.3359966056,3,1,1,11.5674663,,
2016-04-01T00:00:00,0.1442857087,4,Can Tho,2016,1,23.1,0.3359966056,3,0,1,11.5674663,,
2016-05-01T00:00:00,0.03142857179,5,Can Tho,2016,1,23.1,0.3359966056,3,0,0,11.5674663,,
2016-06-01T00:00:00,,6,Can Tho,2016,1,23.1,0.3359966056,3,0,0,11.5674663,,
2016-07-01T00:00:00,-0.01249999832,7,Can Tho,2016,1,23.1,0.3359966056,3,0,0,11.5674663,,
2016-08-01T00:00:00,-0.03999999911,8,Can Tho,2016,1,23.1,0.3359966056,3,1,0,11.5674663,,
2016-09-01T00:00:00,0.07999999821,9,Can Tho,2016,1,23.1,0.3359966056,3,1,0,11.5674663,,
2016-10-01T00:00:00,,10,Can Tho,2016,1,23.1,0.3359966056,3,1,0,11.5674663,,
2016-11-01T00:00:00,-0.009999999776,11,Can Tho,2016,1,23.1,0.3359966056,3,0,0,11.5674663,,
2016-12-01T00:00:00,0.200000003,12,Can Tho,2016,1,23.1,0.3359966056,3,0,0,11.5674663,,
2017-01-01T00:00:00,0.2049999982,1,Can Tho,2017,1,23.1,0.3359966056,3,0,0,13.73330131,,
2017-02-01T00:00:00,0.08250000328,2,Can Tho,2017,1,23.1,0.3359966056,3,1,0,13.73330131,,
2017-03-01T00:00:00,0.1128571406,3,Can Tho,2017,1,23.1,0.3359966056,3,1,0,13.73330131,,
2017-04-01T00:00:00,-0.02749999985,4,Can Tho,2017,1,23.1,0.3359966056,3,0,0,13.73330131,,
2017-05-01T00:00:00,0.1399999857,5,Can Tho,2017,1,23.1,0.3359966056,3,0,0,13.73330131,,
2017-06-01T00:00:00,-0.1924999952,6,Can Tho,2017,1,23.1,0.3359966056,3,0,0,13.73330131,,
2017-07-01T00:00:00,0.009999999776,7,Can Tho,2017,1,23.1,0.3359966056,3,0,0,13.73330131,,
2017-08-01T00:00:00,-0.2199999988,8,Can Tho,2017,1,23.1,0.3359966056,3,1,0,13.73330131,,
2017-09-01T00:00:00,-0.06333333254,9,Can Tho,2017,1,23.1,0.3359966056,3,1,0,13.73330131,,
2017-10-01T00:00:00,-0.1000000015,10,Can Tho,2017,1,23.1,0.3359966056,3,1,0,13.73330131,,
2017-11-01T00:00:00,0.2250000089,11,Can Tho,2017,1,23.1,0.3359966056,3,0,0,13.73330131,,
2017-12-01T00:00:00,0.0625,12,Can Tho,2017,1,23.1,0.3359966056,3,0,0,13.73330131,,
2018-01-01T00:00:00,-0.009999999776,1,Can Tho,2018,1,23.1,0.3359966056,3,0,0,15.35318849,,
2018-02-01T00:00:00,-0.02363636345,2,Can Tho,2018,1,23.1,0.3359966056,3,1,0,15.35318849,,
2018-03-01T00:00:00,0.087272726,3,Can Tho,2018,1,23.1,0.3359966056,3,1,0,15.35318849,,
2018-04-01T00:00:00,-0.01199999917,4,Can Tho,2018,1,23.1,0.3359966056,3,0,0,15.35318849,,
2018-05-01T00:00:00,0.08199999481,5,Can Tho,2018,1,23.1,0.3359966056,3,0,0,15.35318849,,
2018-06-01T00:00:00,-0.1099999994,6,Can Tho,2018,1,23.1,0.3359966056,3,0,0,15.35318849,,
2018-07-01T00:00:00,-0.3100000024,7,Can Tho,2018,1,23.1,0.3359966056,3,0,0,15.35318849,,
2018-08-01T00:00:00,-0.07333333045,8,Can Tho,2018,1,23.1,0.3359966056,3,1,0,15.35318849,,
2018-09-01T00:00:00,-0.05000000075,9,Can Tho,2018,1,23.1,0.3359966056,3,1,1,15.35318849,,
2018-10-01T00:00:00,-0.174999997,10,Can Tho,2018,1,23.1,0.3359966056,3,1,1,15.35318849,,
2018-11-01T00:00:00,-0.06333332509,11,Can Tho,2018,1,23.1,0.3359966056,3,0,1,15.35318849,,
2018-12-01T00:00:00,0.03333333507,12,Can Tho,2018,1,23.1,0.3359966056,3,0,1,15.35318849,,
2019-01-01T00:00:00,0.1210000068,1,Can Tho,2019,1,23.1,0.3359966056,3,0,1,17.16414658,,
2019-02-01T00:00:00,0.07999999821,2,Can Tho,2019,1,23.1,0.3359966056,3,1,1,17.16414658,,
2019-03-01T00:00:00,-0.06833333522,3,Can Tho,2019,1,23.1,0.3359966056,3,1,1,17.16414658,,
2019-04-01T00:00:00,0.05700000003,4,Can Tho,2019,1,23.1,0.3359966056,3,0,1,17.16414658,,
2019-05-01T00:00:00,-0.1012499928,5,Can Tho,2019,1,23.1,0.3359966056,3,0,1,17.16414658,,
2019-06-01T00:00:00,0.2649999857,6,Can Tho,2019,1,23.1,0.3359966056,3,0,1,17.16414658,,
2019-07-01T00:00:00,0.1171428561,7,Can Tho,2019,1,23.1,0.3359966056,3,0,0,17.16414658,,
2019-08-01T00:00:00,-0.2549999952,8,Can Tho,2019,1,23.1,0.3359966056,3,1,0,17.16414658,,
2019-09-01T00:00:00,0.03750000149,9,Can Tho,2019,1,23.1,0.3359966056,3,1,0,17.16414658,,
2019-10-01T00:00:00,0.1016666591,10,Can Tho,2019,1,23.1,0.3359966056,3,1,0,17.16414658,,
2019-11-01T00:00:00,0.2949999869,11,Can Tho,2019,1,23.1,0.3359966056,3,0,0,17.16414658,,
