date,NO2,month,name,year,bridge,dmonth
2008-01-01T00:00:00,239,1,My Loi,2008,0,0
2008-02-01T00:00:00,140,2,Can Tho,2008,0,1
2008-02-01T00:00:00,123,2,Co Chien,2008,0,1
2008-02-01T00:00:00,158,2,Ham Luong,2008,0,1
2008-02-01T00:00:00,153,2,Rach Mieu,2008,0,1
2008-02-01T00:00:00,150,2,My Thuan,2008,1,1
2008-02-01T00:00:00,153,2,Vam Cong,2008,0,1
2008-02-01T00:00:00,157,2,Cao Lanh,2008,0,1
2008-02-01T00:00:00,215,2,My Loi,2008,0,1
2008-03-01T00:00:00,195,3,Can Tho,2008,0,2
2008-03-01T00:00:00,116,3,Co Chien,2008,0,2
2008-03-01T00:00:00,139,3,Ham Luong,2008,0,2
2008-03-01T00:00:00,149,3,Rach Mieu,2008,0,2
2008-03-01T00:00:00,180,3,My Thuan,2008,1,2
2008-03-01T00:00:00,250,3,Vam Cong,2008,0,2
2008-03-01T00:00:00,217,3,Cao Lanh,2008,0,2
2008-03-01T00:00:00,206,3,My Loi,2008,0,2
2008-04-01T00:00:00,133,4,Can Tho,2008,0,3
2008-04-01T00:00:00,138,4,Co Chien,2008,0,3
2008-04-01T00:00:00,137,4,Ham Luong,2008,0,3
2008-04-01T00:00:00,151,4,Rach Mieu,2008,0,3
2008-04-01T00:00:00,141,4,My Thuan,2008,1,3
2008-04-01T00:00:00,170,4,Vam Cong,2008,0,3
2008-04-01T00:00:00,174,4,Cao Lanh,2008,0,3
2008-04-01T00:00:00,199,4,My Loi,2008,0,3
2008-05-01T00:00:00,114,5,Can Tho,2008,0,4
2008-05-01T00:00:00,127,5,Co Chien,2008,0,4
2008-05-01T00:00:00,150,5,Ham Luong,2008,0,4
2008-05-01T00:00:00,139,5,Rach Mieu,2008,0,4
2008-05-01T00:00:00,123,5,My Thuan,2008,1,4
2008-05-01T00:00:00,121,5,Vam Cong,2008,0,4
2008-05-01T00:00:00,119,5,Cao Lanh,2008,0,4
2008-05-01T00:00:00,173,5,My Loi,2008,0,4
2008-06-01T00:00:00,115,6,Can Tho,2008,0,5
2008-06-01T00:00:00,127,6,Co Chien,2008,0,5
2008-06-01T00:00:00,161,6,Ham Luong,2008,0,5
2008-06-01T00:00:00,156,6,Rach Mieu,2008,0,5
2008-06-01T00:00:00,163,6,My Thuan,2008,1,5
2008-06-01T00:00:00,137,6,Vam Cong,2008,0,5
2008-06-01T00:00:00,112,6,Cao Lanh,2008,0,5
2008-06-01T00:00:00,127,6,My Loi,2008,0,5
2008-07-01T00:00:00,85,7,Can Tho,2008,0,6
2008-07-01T00:00:00,107,7,Co Chien,2008,0,6
2008-07-01T00:00:00,118,7,Ham Luong,2008,0,6
2008-07-01T00:00:00,119,7,Rach Mieu,2008,0,6
2008-07-01T00:00:00,123,7,My Thuan,2008,1,6
2008-07-01T00:00:00,165,7,Vam Cong,2008,0,6
2008-07-01T00:00:00,159,7,Cao Lanh,2008,0,6
2008-07-01T00:00:00,135,7,My Loi,2008,0,6
2008-08-01T00:00:00,95,8,Can Tho,2008,0,7
2008-08-01T00:00:00,107,8,Co Chien,2008,0,7
2008-08-01T00:00:00,120,8,Ham Luong,2008,0,7
2008-08-01T00:00:00,128,8,Rach Mieu,2008,0,7
2008-08-01T00:00:00,121,8,My Thuan,2008,1,7
2008-08-01T00:00:00,111,8,Vam Cong,2008,0,7
2008-08-01T00:00:00,109,8,Cao Lanh,2008,0,7
2008-08-01T00:00:00,117,8,My Loi,2008,0,7
2008-09-01T00:00:00,141,9,Can Tho,2008,0,8
2008-09-01T00:00:00,144,9,Co Chien,2008,0,8
2008-09-01T00:00:00,102,9,Ham Luong,2008,0,8
2008-09-01T00:00:00,140,9,Rach Mieu,2008,0,8
2008-09-01T00:00:00,136,9,My Thuan,2008,1,8
2008-09-01T00:00:00,119,9,Vam Cong,2008,0,8
2008-09-01T00:00:00,140,9,Cao Lanh,2008,0,8
2008-09-01T00:00:00,161,9,My Loi,2008,0,8
2008-10-01T00:00:00,125,10,Can Tho,2008,0,9
2008-10-01T00:00:00,122,10,Co Chien,2008,0,9
2008-10-01T00:00:00,143,10,Ham Luong,2008,0,9
2008-10-01T00:00:00,159,10,Rach Mieu,2008,0,9
2008-10-01T00:00:00,128,10,My Thuan,2008,1,9
2008-10-01T00:00:00,134,10,Vam Cong,2008,0,9
2008-10-01T00:00:00,117,10,Cao Lanh,2008,0,9
2008-10-01T00:00:00,186,10,My Loi,2008,0,9
2008-11-01T00:00:00,146,11,Can Tho,2008,0,10
2008-11-01T00:00:00,103,11,Co Chien,2008,0,10
2008-11-01T00:00:00,95,11,Ham Luong,2008,0,10
2008-11-01T00:00:00,154,11,Rach Mieu,2008,0,10
2008-11-01T00:00:00,133,11,My Thuan,2008,1,10
2008-11-01T00:00:00,97,11,Vam Cong,2008,0,10
2008-11-01T00:00:00,107,11,Cao Lanh,2008,0,10
2008-11-01T00:00:00,191,11,My Loi,2008,0,10
2008-12-01T00:00:00,124,12,Can Tho,2008,0,11
2008-12-01T00:00:00,144,12,Co Chien,2008,0,11
2008-12-01T00:00:00,161,12,Ham Luong,2008,0,11
2008-12-01T00:00:00,180,12,Rach Mieu,2008,0,11
2008-12-01T00:00:00,140,12,My Thuan,2008,1,11
2008-12-01T00:00:00,118,12,Vam Cong,2008,0,11
2008-12-01T00:00:00,104,12,Cao Lanh,2008,0,11
2008-12-01T00:00:00,213,12,My Loi,2008,0,11
2009-01-01T00:00:00,131,1,Can Tho,2009,0,0
2009-01-01T00:00:00,129,1,Co Chien,2009,0,0
2009-01-01T00:00:00,159,1,Ham Luong,2009,0,0
2009-01-01T00:00:00,150,1,Rach Mieu,2009,1,0
2009-01-01T00:00:00,132,1,My Thuan,2009,1,0
2009-01-01T00:00:00,117,1,Vam Cong,2009,0,0
