date,mean,month,quarter,name,year,bridge,ferry
2013-06-01T00:00:00,315.7185327,6,2,Can Tho,2013,1,1
2013-07-01T00:00:00,141.4852484,7,3,Can Tho,2013,1,1
2013-08-01T00:00:00,,8,3,Can Tho,2013,1,1
2013-09-01T00:00:00,307.7154368,9,3,Can Tho,2013,1,1
2013-10-01T00:00:00,334.6450415,10,4,Can Tho,2013,1,1
2013-11-01T00:00:00,332.6881134,11,4,Can Tho,2013,1,1
2013-12-01T00:00:00,333.5755694,12,4,Can Tho,2013,1,1
2014-01-01T00:00:00,314.2590184,1,1,Can Tho,2014,1,1
2014-02-01T00:00:00,359.7914758,2,1,Can Tho,2014,1,1
2014-03-01T00:00:00,279.7929592,3,1,Can Tho,2014,1,1
2014-04-01T00:00:00,268.7409191,4,2,Can Tho,2014,1,1
2014-05-01T00:00:00,239.9701018,5,2,Can Tho,2014,1,1
2014-06-01T00:00:00,264.3149038,6,2,Can Tho,2014,1,1
2014-07-01T00:00:00,226.8552795,7,3,Can Tho,2014,1,1
2014-08-01T00:00:00,313.3263783,8,3,Can Tho,2014,1,1
2014-09-01T00:00:00,315.5369866,9,3,Can Tho,2014,1,1
2014-10-01T00:00:00,430.408615,10,4,Can Tho,2014,1,1
2014-11-01T00:00:00,313.3580577,11,4,Can Tho,2014,1,1
2014-12-01T00:00:00,144.9532897,12,4,Can Tho,2014,1,1
2015-01-01T00:00:00,319.0686767,1,1,Can Tho,2015,1,1
2015-02-01T00:00:00,235.0805889,2,1,Can Tho,2015,1,1
2015-03-01T00:00:00,472.9507755,3,1,Can Tho,2015,1,1
2015-04-01T00:00:00,379.0478311,4,2,Can Tho,2015,1,1
2015-05-01T00:00:00,216.2270404,5,2,Can Tho,2015,1,1
2015-06-01T00:00:00,330.9783291,6,2,Can Tho,2015,1,1
2015-07-01T00:00:00,360.5524809,7,3,Can Tho,2015,1,1
2015-08-01T00:00:00,207.5147516,8,3,Can Tho,2015,1,1
2015-09-01T00:00:00,463.9098229,9,3,Can Tho,2015,1,1
2015-10-01T00:00:00,280.909542,10,4,Can Tho,2015,1,1
2015-11-01T00:00:00,264.0287007,11,4,Can Tho,2015,1,1
2015-12-01T00:00:00,192.9992482,12,4,Can Tho,2015,1,1
2016-01-01T00:00:00,248.4617742,1,1,Can Tho,2016,1,1
2016-02-01T00:00:00,365.3540288,2,1,Can Tho,2016,1,1
2016-03-01T00:00:00,374.9592598,3,1,Can Tho,2016,1,1
2016-04-01T00:00:00,368.215927,4,2,Can Tho,2016,1,1
2016-05-01T00:00:00,272.913486,5,2,Can Tho,2016,1,1
2016-06-01T00:00:00,300.6882952,6,2,Can Tho,2016,1,1
2016-07-01T00:00:00,263.4891304,7,3,Can Tho,2016,1,1
2016-08-01T00:00:00,405,8,3,Can Tho,2016,1,1
2016-09-01T00:00:00,60.5,9,3,Can Tho,2016,1,1
2016-10-01T00:00:00,354.2306889,10,4,Can Tho,2016,1,1
2016-11-01T00:00:00,298.8387405,11,4,Can Tho,2016,1,1
2016-12-01T00:00:00,279.8406375,12,4,Can Tho,2016,1,1
2017-01-01T00:00:00,256.648546,1,1,Can Tho,2017,1,1
2017-02-01T00:00:00,268.7583303,2,1,Can Tho,2017,1,1
2017-03-01T00:00:00,375.3588013,3,1,Can Tho,2017,1,1
2017-04-01T00:00:00,328.6610379,4,2,Can Tho,2017,1,1
2017-05-01T00:00:00,,5,2,Can Tho,2017,1,1
2017-06-01T00:00:00,181.1513944,6,2,Can Tho,2017,1,1
2017-07-01T00:00:00,289.9533011,7,3,Can Tho,2017,1,1
2017-08-01T00:00:00,248.8160535,8,3,Can Tho,2017,1,1
2017-09-01T00:00:00,383.1331186,9,3,Can Tho,2017,1,1
2017-10-01T00:00:00,259.7238532,10,4,Can Tho,2017,1,1
2017-11-01T00:00:00,194.5059761,11,4,Can Tho,2017,1,1
2017-12-01T00:00:00,260.3046922,12,4,Can Tho,2017,1,1
2018-01-01T00:00:00,219.8501553,1,1,Can Tho,2018,1,1
2018-02-01T00:00:00,326.8016332,2,1,Can Tho,2018,1,1
2018-03-01T00:00:00,331.3520607,3,1,Can Tho,2018,1,1
2018-04-01T00:00:00,256.070911,4,2,Can Tho,2018,1,1
2018-05-01T00:00:00,334.1258191,5,2,Can Tho,2018,1,1
2018-06-01T00:00:00,562.5,6,2,Can Tho,2018,1,1
2018-07-01T00:00:00,523.7995825,7,3,Can Tho,2018,1,1
2018-08-01T00:00:00,334.1272142,8,3,Can Tho,2018,1,1
2018-09-01T00:00:00,295.8675676,9,3,Can Tho,2018,1,1
2018-10-01T00:00:00,377.2872671,10,4,Can Tho,2018,1,1
2018-11-01T00:00:00,348.823847,11,4,Can Tho,2018,1,1
2018-12-01T00:00:00,290.945641,12,4,Can Tho,2018,1,1
2019-01-01T00:00:00,261.862839,1,1,Can Tho,2019,1,1
2019-02-01T00:00:00,267.9467352,2,1,Can Tho,2019,1,1
2019-03-01T00:00:00,336.5373814,3,1,Can Tho,2019,1,1
2019-04-01T00:00:00,204.7535835,4,2,Can Tho,2019,1,1
2019-05-01T00:00:00,349.8061917,5,2,Can Tho,2019,1,1
2019-06-01T00:00:00,209.252988,6,2,Can Tho,2019,1,1
2019-07-01T00:00:00,373.5176933,7,3,Can Tho,2019,1,1
2019-08-01T00:00:00,266.2004175,8,3,Can Tho,2019,1,1
2019-09-01T00:00:00,257.5318323,9,3,Can Tho,2019,1,1
2019-10-01T00:00:00,382.9618321,10,4,Can Tho,2019,1,1
2019-11-01T00:00:00,233.1356719,11,4,Can Tho,2019,1,1
2019-12-01T00:00:00,218.1126104,12,4,Can Tho,2019,1,1
2007-01-01T00:00:00,226.5317471,1,1,Cao Lanh,2007,0,1
2007-02-01T00:00:00,251.3253795,2,1,Cao Lanh,2007,0,1
2007-03-01T00:00:00,267.4673101,3,1,Cao Lanh,2007,0,1
2007-04-01T00:00:00,268.4802242,4,2,Cao Lanh,2007,0,1
2007-05-01T00:00:00,300.0816683,5,2,Cao Lanh,2007,0,1
2007-06-01T00:00:00,199.2600379,6,2,Cao Lanh,2007,0,1
2007-07-01T00:00:00,303.978461,7,3,Cao Lanh,2007,0,1
2007-08-01T00:00:00,365.1721014,8,3,Cao Lanh,2007,0,1
2007-09-01T00:00:00,367.9589552,9,3,Cao Lanh,2007,0,1
2007-10-01T00:00:00,250.5263255,10,4,Cao Lanh,2007,0,1
2007-11-01T00:00:00,546.7477909,11,4,Cao Lanh,2007,0,1
2007-12-01T00:00:00,259.8696411,12,4,Cao Lanh,2007,0,1
2008-01-01T00:00:00,144.0108995,1,1,Cao Lanh,2008,0,1
2008-02-01T00:00:00,277.0975295,2,1,Cao Lanh,2008,0,1
2008-03-01T00:00:00,409.016906,3,1,Cao Lanh,2008,0,1
2008-04-01T00:00:00,212.8665685,4,2,Cao Lanh,2008,0,1
2008-05-01T00:00:00,314.2050955,5,2,Cao Lanh,2008,0,1
2008-06-01T00:00:00,229.1609948,6,2,Cao Lanh,2008,0,1
2008-07-01T00:00:00,297.7851315,7,3,Cao Lanh,2008,0,1
